Date : 2024-12-18 01:54:22
Directory : f:\Code\quickshift\lib
Total : 69 files,  3770 codes, 211 comments, 478 blanks, all 4459 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| f:\Code\quickshift\lib\widgets\toolbar\toolbar.dart                                                    | Dart     |         84 |          2 |          7 |         93 |
| f:\Code\quickshift\lib\widgets\toolbar\toolbar_icon_button.dart                                        | Dart     |         24 |          0 |          4 |         28 |
| f:\Code\quickshift\lib\widgets\toolbar\toolbar_quick_connect_dropdown_icon_button.dart                 | Dart     |        164 |          0 |          9 |        173 |
| f:\Code\quickshift\lib\widgets\util\duration.dart                                                      | Dart     |          9 |          0 |          3 |         12 |
| f:\Code\quickshift\lib\widgets\util\logging.dart                                                       | Dart     |         17 |          0 |          6 |         23 |
| f:\Code\quickshift\lib\widgets\util\logging.g.dart                                                     | Dart     |         13 |          7 |          6 |         26 |
| f:\Code\quickshift\lib\widgets\window\custom_window_button.dart                                        | Dart     |         25 |          0 |          3 |         28 |
| f:\Code\quickshift\lib\widgets\window\title_bar.dart                                                   | Dart     |         28 |          1 |          3 |         32 |
| f:\Code\quickshift\lib\widgets\window\window_buttons.dart                                              | Dart     |         34 |          0 |          3 |         37 |
| Total                                                                                                  |          |      3,770 |        211 |        478 |      4,459 |
+--------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
